category,yyyy,mm,platform_type,gmv
스포츠·레저용품,2017,09,web,124327
화장품,2017,09,web,331282
아동·유아용품,2017,09,web,75971
음·식료품,2017,09,web,316807
농축수산물,2017,09,web,122538
생활용품,2017,09,web,265245
자동차 및 자동차용품,2017,09,web,36519
가구,2017,09,web,91966
애완용품,2017,09,web,24325
여행 및 교통서비스,2017,09,web,538530
문화 및 레저서비스,2017,09,web,74496
e쿠폰서비스,2017,09,web,17375
음식서비스,2017,09,web,30106
기타서비스,2017,09,web,92102
기타,2017,09,web,104940
컴퓨터 및 주변기기,2017,10,mobile,118174
가전·전자·통신기기,2017,10,mobile,394994
서적,2017,10,mobile,41293
사무·문구,2017,10,mobile,18898
의복,2017,10,mobile,595469
신발,2017,10,mobile,92565
가방,2017,10,mobile,112662
패션용품 및 액세서리,2017,10,mobile,104244
스포츠·레저용품,2017,10,mobile,148099
화장품,2017,10,mobile,366559
아동·유아용품,2017,10,mobile,189740
음·식료품,2017,10,mobile,392399
농축수산물,2017,10,mobile,107471
생활용품,2017,10,mobile,374151
자동차 및 자동차용품,2017,10,mobile,48053
가구,2017,10,mobile,137353
애완용품,2017,10,mobile,41763
여행 및 교통서비스,2017,10,mobile,658486
문화 및 레저서비스,2017,10,mobile,81688
e쿠폰서비스,2017,10,mobile,79602
음식서비스,2017,10,mobile,210551
기타서비스,2017,10,mobile,25456
기타,2017,10,mobile,75041
컴퓨터 및 주변기기,2017,10,web,235350
가전·전자·통신기기,2017,10,web,333413
서적,2017,10,web,72439
사무·문구,2017,10,web,37422
의복,2017,10,web,439236
신발,2017,10,web,47801
가방,2017,10,web,44345
패션용품 및 액세서리,2017,10,web,57204
스포츠·레저용품,2017,10,web,126699
화장품,2017,10,web,311318
아동·유아용품,2017,10,web,70801
음·식료품,2017,10,web,216216
농축수산물,2017,10,web,67310
생활용품,2017,10,web,227897
자동차 및 자동차용품,2017,10,web,32422
가구,2017,10,web,85731
애완용품,2017,10,web,22728
여행 및 교통서비스,2017,10,web,549027
문화 및 레저서비스,2017,10,web,97818
e쿠폰서비스,2017,10,web,16436
음식서비스,2017,10,web,32224
기타서비스,2017,10,web,27007
기타,2017,10,web,96251
컴퓨터 및 주변기기,2017,11,mobile,157832
가전·전자·통신기기,2017,11,mobile,485981
서적,2017,11,mobile,44577
사무·문구,2017,11,mobile,23812
의복,2017,11,mobile,857482
신발,2017,11,mobile,114073
가방,2017,11,mobile,120428
패션용품 및 액세서리,2017,11,mobile,123504
스포츠·레저용품,2017,11,mobile,171843
화장품,2017,11,mobile,434703
아동·유아용품,2017,11,mobile,215042
음·식료품,2017,11,mobile,448282
농축수산물,2017,11,mobile,132643
생활용품,2017,11,mobile,434326
자동차 및 자동차용품,2017,11,mobile,50031
가구,2017,11,mobile,145819
애완용품,2017,11,mobile,46998
여행 및 교통서비스,2017,11,mobile,639102
문화 및 레저서비스,2017,11,mobile,79622
e쿠폰서비스,2017,11,mobile,104091
음식서비스,2017,11,mobile,246210
기타서비스,2017,11,mobile,25590
기타,2017,11,mobile,113788
컴퓨터 및 주변기기,2017,11,web,302907
가전·전자·통신기기,2017,11,web,462529
서적,2017,11,web,87946
사무·문구,2017,11,web,44129
의복,2017,11,web,586462
신발,2017,11,web,61475
가방,2017,11,web,49080
패션용품 및 액세서리,2017,11,web,66076
스포츠·레저용품,2017,11,web,141177
화장품,2017,11,web,354520
아동·유아용품,2017,11,web,84549
음·식료품,2017,11,web,253308
농축수산물,2017,11,web,76101
생활용품,2017,11,web,274287
자동차 및 자동차용품,2017,11,web,39536
가구,2017,11,web,96351
애완용품,2017,11,web,25677
여행 및 교통서비스,2017,11,web,518560
문화 및 레저서비스,2017,11,web,65460
e쿠폰서비스,2017,11,web,20237
음식서비스,2017,11,web,34430
기타서비스,2017,11,web,31121
기타,2017,11,web,105278
컴퓨터 및 주변기기,2017,12,mobile,155301
가전·전자·통신기기,2017,12,mobile,427298
서적,2017,12,mobile,58092
사무·문구,2017,12,mobile,27303
의복,2017,12,mobile,737601
신발,2017,12,mobile,102315
가방,2017,12,mobile,129802
패션용품 및 액세서리,2017,12,mobile,136433
스포츠·레저용품,2017,12,mobile,139821
화장품,2017,12,mobile,412990
아동·유아용품,2017,12,mobile,272962
음·식료품,2017,12,mobile,451629
농축수산물,2017,12,mobile,146060
생활용품,2017,12,mobile,417191
자동차 및 자동차용품,2017,12,mobile,47508
가구,2017,12,mobile,132574
애완용품,2017,12,mobile,39074
여행 및 교통서비스,2017,12,mobile,755350
문화 및 레저서비스,2017,12,mobile,135272
e쿠폰서비스,2017,12,mobile,122247
음식서비스,2017,12,mobile,298964
기타서비스,2017,12,mobile,25605
기타,2017,12,mobile,139263
컴퓨터 및 주변기기,2017,12,web,320177
가전·전자·통신기기,2017,12,web,387969
서적,2017,12,web,103589
사무·문구,2017,12,web,50562
의복,2017,12,web,458290
신발,2017,12,web,52613
가방,2017,12,web,51051
패션용품 및 액세서리,2017,12,web,69667
스포츠·레저용품,2017,12,web,118429
화장품,2017,12,web,290554
아동·유아용품,2017,12,web,104274
음·식료품,2017,12,web,258055
농축수산물,2017,12,web,75792
생활용품,2017,12,web,264710
자동차 및 자동차용품,2017,12,web,37716
가구,2017,12,web,88111
애완용품,2017,12,web,23206
여행 및 교통서비스,2017,12,web,522992
문화 및 레저서비스,2017,12,web,71778
e쿠폰서비스,2017,12,web,27963
음식서비스,2017,12,web,40576
기타서비스,2017,12,web,31087
기타,2017,12,web,133830
컴퓨터 및 주변기기,2018,01,mobile,187441
가전·전자·통신기기,2018,01,mobile,459257
서적,2018,01,mobile,64132
사무·문구,2018,01,mobile,26473
의복,2018,01,mobile,571852
신발,2018,01,mobile,85859
가방,2018,01,mobile,135151
패션용품 및 액세서리,2018,01,mobile,128067
스포츠·레저용품,2018,01,mobile,126246
화장품,2018,01,mobile,434948
아동·유아용품,2018,01,mobile,219323
음·식료품,2018,01,mobile,560272
농축수산물,2018,01,mobile,168319
생활용품,2018,01,mobile,449370
자동차 및 자동차용품,2018,01,mobile,45677
가구,2018,01,mobile,159155
애완용품,2018,01,mobile,47640
여행 및 교통서비스,2018,01,mobile,805804
문화 및 레저서비스,2018,01,mobile,118365
e쿠폰서비스,2018,01,mobile,85532
음식서비스,2018,01,mobile,309665
기타서비스,2018,01,mobile,30782
기타,2018,01,mobile,117870
컴퓨터 및 주변기기,2018,01,web,324233
가전·전자·통신기기,2018,01,web,398999
서적,2018,01,web,107123
사무·문구,2018,01,web,46397
의복,2018,01,web,392385
신발,2018,01,web,45709
가방,2018,01,web,51391
패션용품 및 액세서리,2018,01,web,67231
스포츠·레저용품,2018,01,web,104533
화장품,2018,01,web,335960
아동·유아용품,2018,01,web,75872
음·식료품,2018,01,web,286550
농축수산물,2018,01,web,83591
생활용품,2018,01,web,261059
자동차 및 자동차용품,2018,01,web,31543
가구,2018,01,web,92737
애완용품,2018,01,web,24538
여행 및 교통서비스,2018,01,web,685630
문화 및 레저서비스,2018,01,web,64022
e쿠폰서비스,2018,01,web,20062
음식서비스,2018,01,web,37792
기타서비스,2018,01,web,42361
기타,2018,01,web,110089
컴퓨터 및 주변기기,2018,02,mobile,177621
가전·전자·통신기기,2018,02,mobile,418685
서적,2018,02,mobile,54689
사무·문구,2018,02,mobile,25271
의복,2018,02,mobile,489051
신발,2018,02,mobile,83720
가방,2018,02,mobile,129877
패션용품 및 액세서리,2018,02,mobile,117814
스포츠·레저용품,2018,02,mobile,109501
화장품,2018,02,mobile,429497
아동·유아용품,2018,02,mobile,197372
음·식료품,2018,02,mobile,518213
농축수산물,2018,02,mobile,172972
생활용품,2018,02,mobile,401715
자동차 및 자동차용품,2018,02,mobile,39074
가구,2018,02,mobile,152372
애완용품,2018,02,mobile,40717
여행 및 교통서비스,2018,02,mobile,698011
문화 및 레저서비스,2018,02,mobile,90396
e쿠폰서비스,2018,02,mobile,108408
음식서비스,2018,02,mobile,288800
기타서비스,2018,02,mobile,30542
기타,2018,02,mobile,132678
컴퓨터 및 주변기기,2018,02,web,275786
가전·전자·통신기기,2018,02,web,351716
서적,2018,02,web,93094
사무·문구,2018,02,web,46450
의복,2018,02,web,336102
신발,2018,02,web,40727
가방,2018,02,web,48277
패션용품 및 액세서리,2018,02,web,60565
스포츠·레저용품,2018,02,web,91209
화장품,2018,02,web,316879
아동·유아용품,2018,02,web,71246
음·식료품,2018,02,web,296445
농축수산물,2018,02,web,116806
생활용품,2018,02,web,234324
자동차 및 자동차용품,2018,02,web,26428
가구,2018,02,web,89192
애완용품,2018,02,web,20227
여행 및 교통서비스,2018,02,web,548038
문화 및 레저서비스,2018,02,web,61442
e쿠폰서비스,2018,02,web,20823
음식서비스,2018,02,web,35445
기타서비스,2018,02,web,27138
기타,2018,02,web,91943
컴퓨터 및 주변기기,2018,03,mobile,193113
가전·전자·통신기기,2018,03,mobile,510861
서적,2018,03,mobile,70476
사무·문구,2018,03,mobile,30649
의복,2018,03,mobile,680287
신발,2018,03,mobile,113113
가방,2018,03,mobile,143810
패션용품 및 액세서리,2018,03,mobile,138381
스포츠·레저용품,2018,03,mobile,160529
화장품,2018,03,mobile,439877
아동·유아용품,2018,03,mobile,214584
음·식료품,2018,03,mobile,534601
농축수산물,2018,03,mobile,152387
생활용품,2018,03,mobile,468022
자동차 및 자동차용품,2018,03,mobile,47231
가구,2018,03,mobile,174549
애완용품,2018,03,mobile,45674
여행 및 교통서비스,2018,03,mobile,694525
문화 및 레저서비스,2018,03,mobile,75329
e쿠폰서비스,2018,03,mobile,115826
음식서비스,2018,03,mobile,325867
기타서비스,2018,03,mobile,29349
기타,2018,03,mobile,147626
컴퓨터 및 주변기기,2018,03,web,310948
가전·전자·통신기기,2018,03,web,435766
서적,2018,03,web,121120
사무·문구,2018,03,web,51251
의복,2018,03,web,482845
신발,2018,03,web,56004
가방,2018,03,web,50380
패션용품 및 액세서리,2018,03,web,71766
스포츠·레저용품,2018,03,web,123291
화장품,2018,03,web,391775
아동·유아용품,2018,03,web,84298
음·식료품,2018,03,web,292272
농축수산물,2018,03,web,76413
생활용품,2018,03,web,271316
자동차 및 자동차용품,2018,03,web,36667
가구,2018,03,web,102507
애완용품,2018,03,web,22960
여행 및 교통서비스,2018,03,web,569662
문화 및 레저서비스,2018,03,web,96087
e쿠폰서비스,2018,03,web,23768
음식서비스,2018,03,web,35896
